info,salary,treatment
长沙沐海文化传播有限公司 / 岳麓银盆岭 / 网络推广 / 学历不限 / 9月15日,3001-5000元,包吃，包住
长沙纽扣美学化妆培训学校 / 芙蓉解放东路 / 网站运营 / 大专 /,8001-10000元,房补，带薪年假，交通补助
长沙战三国信息科技有限公司 / 长沙 / 网络推广 / 学历不限 /,3001-5000元,包吃，包住
无锡利宝电子科技有限公司 / 宁乡 / 网络管理员 / 学历不限 /,面议,话补，房补，年底双薪
苏州协利森精密机械有限公司 / 浏阳 / 网络管理员 / 学历不限 /,12001-20000元,话补，房补，年底双薪
苏州协利森精密机械有限公司 / 开福 / 网络管理员 / 学历不限 /,12001-20000元,话补，房补，年底双薪
驰海网络 / 岳麓桐梓坡 / 网站编辑 / 学历不限 /,3001-5000元,带薪年假
驰海网络 / 岳麓桐梓坡 / 网络推广 / 学历不限 /,3001-5000元,带薪年假
华语传媒 / 网站运营 / 学历不限 /,3001-5000元,包吃，包住，交通补助
驰海网络 / 岳麓桐梓坡 / 网站运营 / 学历不限 /,3001-5000元,带薪年假
驰海网络 / 岳麓桐梓坡 / 网站运营 / 学历不限 /,3001-5000元,带薪年假
驰海网络 / 岳麓桐梓坡 / 网站运营 / 学历不限 /,3001-5000元,带薪年假
湖南融万企业管理有限公司 / 雨花汽车南站 / 网络推广 / 学历不限 /,5001-8000元,双休
长沙希娜塔雏田文化传播有限公司 / 岳麓 / 游戏设计开发 / 学历不限 /,5001-8000元,包吃，包住，五险一金
湖南掌族科技 / 长沙 / 网络推广 / 学历不限 /,2001-3000元,双休
湖南融万企业管理有限公司 / 雨花汽车南站 / 网络推广 / 学历不限 /,面议,双休
湖南融万企业管理有限公司 / 雨花汽车南站 / 其他 / 学历不限 /,8001-10000元,双休
长沙纽扣美学化妆培训学校 / 芙蓉解放东路 / 网络推广 / 高中 /,3001-5000元,话补，房补，带薪年假
湖南小柿信息科技有限公司 / 长沙 / 程序员 / 学历不限 /,2000元以下,
长沙美之源信息科技有限公司 / 雨花 / 网店运营 / 大专 /,面议,
长沙美之源信息科技有限公司 / 雨花 / 店铺运营推广 / 大专 /,5001-8000元,
长沙美之源信息科技有限公司 / 雨花 / 商务主管经理 / 大专 /,5001-8000元,
长沙美之源信息科技有限公司 / 雨花 / 淘宝美工 / 学历不限 /,3001-5000元,双休
长沙美之源信息科技有限公司 / 雨花 / 产品经理专员 / 大专 /,5001-8000元,
个人 / 望城望城新区政府 / 软件实施工程师 / 学历不限 /,12001-20000元,话补，房补，年底双薪
个人 / 天心劳动广场 / 软件实施工程师 / 学历不限 /,12001-20000元,话补，房补，年底双薪
个人 / 开福北站路 / 技术经理总监 / 学历不限 /,20000元以上,话补，房补，年底双薪
长沙别遇网络科技有限公司 / 芙蓉 / 网络推广 / 学历不限 /,3001-5000元,房补，带薪年假，包住
个人 / 长沙 / 其他 / 学历不限 /,面议,
长沙断桥铝门窗阳光房厂家 / 长沙 / 网络推广 / 学历不限 /,3001-5000元,包吃
湖南森宇洋湖进出口贸易有限公司 / 长沙 / 网络推广 / 学历不限 /,5001-8000元,话补，房补，带薪年假
湖南东邦信息科技有限公司 / 长沙 / 其他 / 学历不限 /,5001-8000元,包吃，包住，交通补助
长沙51电脑科技 / 长沙 / 技术支持维护 / 学历不限 /,面议,包吃
湖南三头牛科技有限公司 / 长沙 / 软件工程师 / 学历不限 /,面议,五险一金
湖南三头牛科技有限公司 / 长沙 / App开发工程师 / 学历不限 /,面议,五险一金
湖南三头牛科技有限公司 / 长沙 / 软件工程师 / 学历不限 /,面议,五险一金
长沙市岳麓区创富食品商行 / 岳麓 / 网络推广 / 高中 /,12001-20000元,包吃，包住
湖南新起点职业培训学校 / 芙蓉五一大道 / 网站编辑 / 学历不限 /,面议,年底双薪，双休，五险一金
