adm1,adm2,city_name,code,country_name,latitude,location_id,longitude
北京市,北京,北京,110000 | 110100,中国,39.904987,101010100,116.405289
北京市,北京,海淀,110108,中国,39.956074,101010200,116.310318
北京市,北京,朝阳,110105,中国,39.921490,101010300,116.486412
北京市,北京,顺义,110113,中国,40.128937,101010400,116.653526
北京市,北京,怀柔,110116,中国,40.324272,101010500,116.637123
北京市,北京,通州,110112,中国,39.902485,101010600,116.658600
北京市,北京,昌平,110114,中国,40.218086,101010700,116.235909
北京市,北京,延庆,110119,中国,40.465324,101010800,115.985008
北京市,北京,丰台,110106,中国,39.863644,101010900,116.286964
北京市,北京,石景山,110107,中国,39.914600,101011000,116.195442
北京市,北京,大兴,110115,中国,39.728909,101011100,116.338036
北京市,北京,房山,110111,中国,39.735535,101011200,116.139160
北京市,北京,密云,110118,中国,40.377361,101011300,116.843353
北京市,北京,门头沟,110109,中国,39.937183,101011400,116.105377
北京市,北京,平谷,110117,中国,40.144783,101011500,117.112335
北京市,北京,东城,110101,中国,39.917545,101011600,116.418755
北京市,北京,西城,110102,中国,39.915310,101011700,116.366791
上海市,上海,上海,310000 | 310100,中国,31.231707,101020100,121.472641
上海市,上海,闵行,310112,中国,31.111658,101020200,121.375969
上海市,上海,宝山,310113,中国,31.398895,101020300,121.489937
上海市,上海,黄浦,310101,中国,31.222771,101020400,121.490318
上海市,上海,嘉定,310114,中国,31.383524,101020500,121.250336
上海市,上海,浦东新区,310115,中国,31.245943,101020600,121.567703
上海市,上海,金山,310116,中国,30.724697,101020700,121.330734
上海市,上海,青浦,310118,中国,31.151209,101020800,121.113022
上海市,上海,松江,310117,中国,31.030470,101020900,121.223541
上海市,上海,奉贤,310120,中国,30.912346,101021000,121.458473
上海市,上海,崇明,310151,中国,31.626946,101021100,121.397514
上海市,上海,徐汇,310104,中国,31.179974,101021200,121.437523
上海市,上海,长宁,310105,中国,31.218122,101021300,121.422203
上海市,上海,静安,310106,中国,31.229004,101021400,121.448227
上海市,上海,普陀,310107,中国,31.241701,101021500,121.392502
上海市,上海,虹口,310109,中国,31.260969,101021600,121.491829
上海市,上海,杨浦,310110,中国,31.270756,101021700,121.522797
天津市,天津,天津,120000 | 120100,中国,39.125595,101030100,117.190186
天津市,天津,武清,120114,中国,39.376926,101030200,117.057961
天津市,天津,宝坻,120115,中国,39.716965,101030300,117.308090
天津市,天津,东丽,120110,中国,39.087765,101030400,117.313965
天津市,天津,西青,120111,中国,39.139446,101030500,117.012245
天津市,天津,北辰,120113,中国,39.225555,101030600,117.134819
天津市,天津,宁河,120117,中国,39.328884,101030700,117.828278
天津市,天津,和平,120101,中国,39.118328,101030800,117.195908
天津市,天津,静海,120118,中国,38.935673,101030900,116.925301
天津市,天津,津南,120112,中国,38.989578,101031000,117.382545
天津市,天津,滨海新区,120116,中国,39.032845,101031100,117.654175
天津市,天津,河东,120102,中国,39.122124,101031200,117.226570
天津市,天津,河西,120103,中国,39.101898,101031300,117.217537
天津市,天津,蓟州,120119,中国,40.045341,101031400,117.407448
天津市,天津,南开,120104,中国,39.120476,101031500,117.164146
天津市,天津,河北,120105,中国,39.156631,101031600,117.201569
天津市,天津,红桥,120106,中国,39.175068,101031700,117.163300
重庆市,重庆,重庆,500000 | 500100,中国,29.563761,101040100,106.550461
重庆市,重庆,永川,500118,中国,29.348747,101040200,105.894714
重庆市,重庆,合川,500117,中国,29.990994,101040300,106.265556
重庆市,重庆,南川,500119,中国,29.156647,101040400,107.098152
重庆市,重庆,江津,500116,中国,29.283386,101040500,106.253159
重庆市,重庆,渝北,500112,中国,29.601452,101040700,106.512848
重庆市,重庆,北碚,500109,中国,29.825430,101040800,106.437866
