age,country,director,film_length,img,language,score,screenwriter,summary,title,to_star,type
2020-04-24,美国,山姆·哈格雷夫,116,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2593425210.jpg,英语 / 印地语 / 孟加拉语,7.1,乔·罗素/安德·帕克斯/安东尼·罗素/Fernando León González,泰勒·雷克（克里斯·海姆斯沃斯饰）是一名无所畏惧的黑市雇佣兵，一无所有的他奉命营救入狱的黑帮大佬被绑架的儿子。但是在充斥着武器交易商和毒贩的阴暗地下世界中，本就致命的任务更是难以完成，并彻底地改变了雷克和男孩的命运。,惊天营救 Extraction,克里斯·海姆斯沃斯/大卫·哈伯/格什菲·法拉哈尼,动作/惊悚/犯罪
114分钟,日本,福田雄一,IMDb链,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2595471914.jpg,日语,8.1,福田雄一/西森博之,三桥贵志以转校为契机，决定在新学校“嚣张”一把，从此做个不良少年。为了能在同学中获得存在感，他还特地去发廊弄了一头金色卷发。而和他转到同一所学校的伊藤也有同样的想法。在开学第一天，伊藤和三桥就发现了彼此的秘密，也因此结成盟友。三桥的信条是“无论用多么卑鄙的手段，只要能赢就行”，所以，在和别人打架的时候只要能玩阴的就绝对不正面对抗，但他真正的实力也不容小觑。伊藤为人处世相对正经，有时候甚至会慢半拍，也因此常常被三桥利用且被蒙在鼓里，而在打架方面，他战斗力超群，有着不服输的信念。两个人一起挑战校内校外的不良少年，引发了一连串爆笑事件。,我是大哥大 电影版 今日から俺は！！劇場版,贺来贤人/伊藤健太郎/清野菜名,喜剧
上映日期:,美国,阎羽茜,片,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575974437.jpg,英语,5.7,克里斯蒂娜·霍德森/查克·狄克逊/乔丹·B·戈芬克尔/格雷格·兰德,你听过一个有关警察、歌手、神经病和黑手党公主的故事吗？《猛禽小队和哈莉·奎茵》是一个只有哈莉·奎茵本人才能讲出来的超乎寻常的奇妙传奇。哥谭市最为凶残自大的恶棍罗曼·赛恩尼斯和他狂热的手下萨斯为了寻找一个年轻女孩卡斯，将这座城市翻了个底朝天。哈莉、女猎手、黑金丝雀和蕾妮·蒙托亚不期而遇，看似违和的四人组不得不团结一致、携手作战，才有可能打败罗曼。,猛禽小队和哈莉·奎茵 Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,玛格特·罗比/玛丽·伊丽莎白·温斯特德/罗茜·佩雷兹,动作/犯罪/冒险
片长:,中国台湾,廖明毅,又,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2613241995.jpg,汉语普通话,7.1,廖明毅,"两个怪胎相遇之后

　　彼此的怪，不再奇怪

　　亚洲首部iPhone拍摄剧情长片

　　在爱情的世界裡，我们是彼此的怪胎。

　　陈柏青是一名严重神经性强迫症患者，有非常严重的洁癖。每月的15号是柏青唯一一天出门採买的日子，就在某个命运的15号，他遇见了与他「同病相怜」的另一个怪胎—陈静。

　　原本以为自己要永远孤单活在这世界上的两人，老天爷让他们相遇，发展出一尘不染的爱情，彷彿拥有了彼此就不再害怕被世界遗弃。然而这段看似命中注定的关係，却在柏青的强迫症突然消失后，渐渐的变了调…爱情的承诺，真的能永保新鲜吗？",怪胎,林柏宏/谢欣颖/张少怀,剧情
2020-01-30,俄罗斯,尼基塔·阿格诺夫,111,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2581658698.jpg,俄语,6.3,尼基塔·阿格诺夫/提莫非·邓肯/阿莱克西·克莱福科维奇,在一场巨大而神秘的事故之后，一位年轻有才华的建筑师在一个与现实世界相似的奇异世界里苏醒，这个世界建立在这里人民的记忆之上，而这些人则处于深度昏迷之中。由于这些人的记忆力参差不齐、混乱、不稳定，导致奇怪的记忆和回忆——城市、冰川、河流可以共存在一个房间里，所有的物理定律都可以被打破，建筑师必须找到他们昏迷的具体规律，才能找到通往现实世界的出口。就在他与命运抗争的同时遇到了真爱，而经历此次昏迷之后，他发现自己不得不重新认识这个世界……,异界 Кома,林奈·穆罕默托夫/柳波芙·阿克肖诺娃/安东·庞布施尼,动作/科幻/冒险
片长:,美国,马克·托德莱,又,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2621805920.jpg,英语,6.0,科特·维莫,Marquis（欧玛瑞·哈德威克饰）带着家人飞往偏远的阿帕拉契参加父亲的丧礼，不料途中一场暴风雨使得飞机失控。Marquis醒来时受了伤，自己一人困在Ms.Eloise（洛雷塔·迪瓦恩饰）的阁楼里。Ms.Eloise说自己用了Marquis的血和皮肤制作了巫毒Boogity，并将使用Boogity帮他治疗痊愈。求救无门的Marquis只能想尽办法以智取胜，试图下个月圆之夜之前逃离Ms.Eloise的巫术并拯救自己的家人免于这场邪恶的祭典。,索命咒 Spell,欧玛瑞·哈德威克/洛雷塔·迪瓦恩/洛林·布伦斯,惊悚/恐怖
片长:,印度,Anas Khan,又,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2613063433.jpg,马拉雅拉姆语,6.7,托维诺·托马斯/Mamta Mohandas/Reba Monica John/Srikant Murali/Saiju Kurup/Prathap Pothen/Anwar Shereef/Renji Panicker/Rony David/Ramu/Dhanesh Anand,一对经历丰富的警察搭档争分夺秒地从过去和假线索中寻找蛛丝马迹，以抓获一个以小女孩为犯罪对象的神秘连环杀手。,法医追凶 Forensic,托维诺·托马斯/Mamta Mohandas/Reba Monica John,悬疑/惊悚/犯罪
2019-12-18,美国,J·J·艾布拉姆斯,片,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575456458.jpg,英语,6.3,J·J·艾布拉姆斯/克里斯·特里奥/乔治·卢卡斯/科林·特雷沃罗/德里克·康纳利,本片为2017年电影《星球大战：最后的绝地武士》的续集，“星球大战后传三部曲”的第三部作品，同时是“天行者传奇”的第九部作品以及最终章。在卢克·天行者化为绝地英灵的一年后，残存的抵抗势力将再次面对第一秩序。同时，绝地和西斯之间的大战将天行者的传奇带到最后。,星球大战9：天行者崛起 Star Wars: The Rise of Skywalker,黛西·雷德利/亚当·德赖弗/奥斯卡·伊萨克,动作/科幻/冒险
2020-09-18,美国,Will Wernick,92,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2617238268.jpg,英语 / 俄语 Russian,5.8,Will Wernick,一个社交媒体人物与他的朋友一起前往莫斯科，以获取他成功的VLOG的新内容。他们总是不断挑战极限，迎合不断增长的受众，他们进入了一个充满神秘，过度和危险的寒冷世界。当现实生活与社交媒体之间的界线变得模糊时，该组织必须为逃避和生存而战。,极限网红 Follow Me,罗南·鲁宾斯坦/霍兰·罗登/丹泽尔·惠特克,惊悚/恐怖
2020-03-06,日本,若松节朗,122分钟(日,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2578338706.jpg,日语,5.8,前川洋一/门田隆将,"《深夜食堂2》的佐藤浩市和《犬之岛》的渡边谦确定加盟福岛核电站灾难主题新片《福岛50死士》。

　　据悉，本片将围绕冒着生命危险留在核电站的最前线工作人员展开，他们中包括值班主管Isaki和工地主任Yoshida。媒体后来以“福岛50死士”来称呼这批勇士。

　　本片目前还未定档，更多信息静待官宣。",福岛50死士 フクシマフィフティ,佐藤浩市/渡边谦/吉冈秀隆,剧情/灾难
