company_industry,company_introduction,company_name,company_size,company_type,level,number_recruiters,position,salary,update_time,work_location
其它行业,1.认真、耐心、有责任感，较强的沟通能力，和良好的服务意识；2.五官端正，身体健康，无不良嗜好；3.人品正直，为人无违法犯罪记录；4.能够吃苦耐劳、爱岗敬业、团队合作能力较强；5.熟练掌握灭火器材、消防设施等各种设施的操作及使用的方法；6.身高男性165cm------175cm以上女性身高不低于155cm，年龄18---55周岁以下，退伍军人优先7.要求：无案底，...,北京天狼卫保安服务有限公司,20人以下,其他,,,,,,
能源/矿产/采掘/冶炼,新疆优胜股权投资有限公司位于新疆乌鲁木齐市高新区(新市区)城北大道3707号空港物流园四号馆4-3-06号，注册资本金为10000万人民币，成立于2011-12-23，目前公司的主要经营范围是从事对非上市企业的股权投资、通过认购非公开发行股票或者受让股权等方式持有上市公司股份以及相关咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,新疆优胜股权投资有限公司,20-99人,民营,大专,1,,面议 ,2020-11-03,北京周边
建筑/装修,北京京供华商电力工程有限公司位于北京市昌平区南邵镇北京风景小区内，办公环境舒适静谧，清馨淡雅，整洁清爽，鼓励发展，提供比较自由发挥的空间，好的建议和方案能够得到必要的支持；有机会学习和成长，能够在众多培训和操作中不断学习，在部门内部经常组织业务讲座，分享项目经验；公司高层支持创新和发展，不断完善公司的体制和流程；工作效率比较高，各个部门都在公司总体发展的框架下不断改进；同事们的工作态度比较...,北京京供华商电力工程有限公司,20-99人,其他,本科,1,办公室主管,3000-5000元 ,2020-11-05,昌平
酒店/餐饮,武安市武安镇程学红食品门市武安市武安镇程学红食品门市武安市武安镇程学红食品门市,武安市武安镇程学红食品门市,20人以下,民营,不限,4,北京招聘女外围一模特公关,8000-12000元 ,2020-11-12,北京周边
生产/制造,金海兆龙实验室家具有限公司是我国从事集规划设计、制造安装、售后服务为一体的现代实验室设备专业制造商。,北京金海兆龙实验室设备有限公司,20-99人,民营,,,,,,
酒店/餐饮,一家以写字楼餐饮为主的餐饮公司，主打江湖菜、粤菜等大众消费菜系，服务人群高档，口味独特，深受顾客喜欢！,联众之家（北京）餐饮管理有限公司,20-99人,民营,不限,3,全职招聘服务员,3000-5000元 ,2020-11-04,海淀
广告/会展,"本公司是一家集图文制作为一体的公司,包装设计精于烟酒茶，保健品，日用品，科技产品包装，包括：纸质礼品包装盒，瓦楞纸箱，画册，图书，无碳本，培训资料，彩页，PVC卡，宣传册，商标，票据，无纺布袋，合同、台历，手提袋，各种不干胶等等。",北京绘彩吉源科技有限公司,20人以下,民营,不限,2,招聘4米2箱货司机,5000-8000元 ,2020-11-04,大兴
建筑/装修,施工总承包专业承包、劳务分包、设备维修、销售建筑材料、钢材、化工产品、消防器材；技术服务、房地产开发,北京滨达建设集团有限公司,20-99人,民营,,,,,,
,,,,,,,,,,
生产/制造,京店云电商致力于为客户提供新零售转型与升级的一站式电商解决方案，提供电商运营、视觉营销、品牌策划、内容营销、数据营销、跨境电商、社群电商、新媒体运营等一站式互联网托管服务，在相关多元化的战略布局下，打造新型的互联网服务商模式。,北京京店云科技有限公司,100-499人,民营,大专,2,运营助理4-5k,3000-5000元 ,2020-11-05,大兴
农/林/牧/渔,绿亨科技集团股份有限公司（股票简称：绿亨科技股票代码870866），公司是一家集研发、生产、加工、销售于一体的现代股份制农药、肥料、种子企业，总部在北京市中关村翠湖科技园。公司现有正式员工500余人。公司在北京海淀、山东寿光、甘肃酒泉、广西田阳建有育种研发及品种测试鉴定基地，并与中国农业大学园艺学院联合建立了绿亨蔬菜育种工作站。寿光绿亨还建有8000平方米的高标准现代化的蔬菜种子研发及加工中心。...,绿亨科技集团股份有限公司北京分公司,500-999人,http://www.luheng.com.cn,高中,30,,3000-5000元 ,2020-11-06,海淀
超市/百货/零售,本公司是一家成立12年的进口商品超市，正规公司手续齐全，线下拥有2家实体店，主要售卖进口食品酒水饮料，洗化用品等,云睿鼎祥（北京）商业有限责任公司,20-99人,其他,大专,2,天津自贸区进口超市招副店...,3000-5000元 ,2020-12-03,丰台
物业管理/商业中心,国创产业园位于朝阳区来广营西路，运营面积5万平方米，由5幢连体群楼与回廊组成一个“9”字型。该产业园由北京星火国创企业管理有限公司（以下简称“星火工贸”）投资建设，其全资子公司“北京国创创投投资有限公司”实际运营。现已吸引入驻科技、文化、医疗等行业小微企业300多家，具有规模的、加速型企业70多家，带动就业1000余人。园区内建有便捷的餐饮、酒店等生活配套设施。,北京星火国创企业管理有限公司,20-99人,http://guochuangchanyeyuan.cn/,中专/技校,1,,3000-5000元 ,2020-11-23,朝阳
中介服务,乐路互动（HappyCareerConsulting）成立于2016年，由来自于全球500强企业背景的高管团队创立，专注于为企业提供中高端人才招聘、提供招聘解决方案、组织咨询、领导力提升以及高管教练等服务的高端猎头咨询公司。乐路互动本着快乐招聘、轻松招聘的价值观，通过自身招聘平台资源，在企业高速发展阶段，为企业招聘减负，为人才升级提供最有力的帮助；同时搭建人才与企业沟通的桥梁，保障企业转...,北京乐路互动咨询有限公司,20人以下,民营,不限,7,猎头顾问,3000-5000元 ,2020-11-06,沈河
酒店/餐饮,"北京小蜻蜓制冰厂成立于2006年底,产品有食用冰块，工业用大冰块，冰雕用透明大冰块，我厂生产食用冰块所用的水经过严格的水处理过滤系统(纯水机),为饮用纯净水.冰块晶莹透亮,干净卫生,并按标准重量密封袋包装,运输有冷藏车,我厂产品自投放市场以来,受到了众多用户的好评,使我厂产品健康有序地流人市场",珠海市春收商贸有限责任公司,20-99人,http://xqtice.wanye68.com,不限,3,快手 抖音直播卖货主播,20000元以上 ,2020-11-06,香洲
媒体/影视/文化,组织文化艺术交流活动（不含棋牌）；文艺创作；影视策划；音乐培训；舞蹈培训；美术培训；计算机技术培训；电脑图文设计；设计、制作、代理、发布广告；企业策划；投资管理；会议服务；承办展览展示；经济贸易咨询；舞台、灯光、音响设计；销售日用品、工艺品（不含文物）、服装鞋帽、电子产品；筹备、策划、组织运动会、晚会、大型庆典；租赁影视器材；个人形象设计；电影摄制；广播电视节目制作。（企业依法自主选择经营项目，开...,艺佰和（北京）国际影视文化传媒有限公司,100-499人,其他,不限,6,网红打造提供原创歌曲,3000-5000元 ,2020-11-17,朝阳
计算机/网络/通信,北京新冶联合科技有限公司是国家级高新技术企业，多年来专注于广电行业的软硬件研发，生产和销售，公司各种专利60多项，拥有充满活力的研发团队，公司产品服务于政府，部队，各大部委，获得用户的一致好评，公司宽敞的办公环境，简单的人际关系，浓厚的文化氛围，更多的晋升机会，期待您的加入！,北京新冶联合科技有限公司,20-99人,股份制企业,大专,2,,5000-8000元 ,2020-11-12,海淀
计算机/网络/通信,这里有和善的同事和温暖的工作氛围，大家齐心协力、目标一致。这是一份长期、稳定、踏实的工作，同时又富有挑战性和成长性。如你有意向加入我们，,北京和鑫晟咨询有限公司,20人以下,民营,中专/技校,10,电话销售月入过万,面议 ,2020-11-12,丰台
生产/制造,公司为小米、茶花家居共同出资成立，是一家年轻时尚的家居生活用品设计与制造公司。依托于小米生态链平台体系，以人为本不断挖掘产品设计需求，以设计和科技驱动创新打造美观实用、便捷健康的生活产品。公司产品品类涵盖收纳、清洁、杯壶、餐厨、晾晒、卫浴、家居、耗材、小家电等九大品类，致力于满足人们日常家居生活的各种场景需求，获得生活的幸福感。莱枫拥有多项外观专利和实用新型专利，目前拥有50多款...,你好生活（北京）科技有限公司,20-99人,民营,本科,1,产品经理,12000-20000元 ,2020-11-12,朝阳
教育/培训,北京扎克教育科技有限公司是一家在线教育公司，为中国从学前到小学的学生以及成人学习者提供一对一的个性化在线英语教学课程。我公司注册在清华科技园，自成立以来一直与清华大学合作。北京扎克教育科技有限公司是一个快速发展的公司，公司管理层均具备丰富的海外留学生活经历。我们的首要目标是提高中国学生的英语能力，同时成为世界领先的在线教育公司。,北京扎克教育科技有限公司,20人以下,民营,本科,1,,12000-20000元 ,2020-11-19,河东
快速消费品(食品/饮料/烟酒/化妆品),北京博雅丽华生物科技有限公司，成立于2019年，与北京市植物资源研究开发重点实验室专家合作，致力打造专业的护肤品牌，秉持传承东方养肤护肤之道，守护用户的肌肤健康。主要针对亚洲女性，有效地保护和改善肌肤问题，焕发健康活力光彩。,北京博雅丽华生物科技有限公司,20-99人,股份制企业,大专,1,北京朝阳运营,8000-12000元 ,2020-11-17,朝阳
农/林/牧/渔,"北京中科益农生物科技有限公司,2014年06月27日成立，经营范围包括生物技术开发、技术咨询、技术推广、技术服务、技术转让；货物进出口、代理进出口、技术进出口；批发汽车配件；销售饲料、宠物用品、花卉、化肥、日用品、家用电器、五金交电（不含电动自行车）、建材、工艺品、珠宝首饰、机械设备、计算机、软件及辅助设备、仪器仪表、文具用品、化工产品（不含危险化学品）；设计、制作、代理、发布广告；承办展览展示活...",北京中科益农生物科技有限公司封丘分公司,100-499人,民营,不限,20,诚聘有经验主播,5000-8000元 ,2020-12-01,封丘
媒体/影视/文化,北京中棠智上文化有限公司是一家集文创珠宝、文创旅游产品开发为主的文化传媒公司。,北京中棠智上文化传媒有限公司,20人以下,民营,,,,,,
教育/培训,万酩汇是一家专业的葡萄酒培训机构，成熟的机制和理念，带领大家感受不一样的生活方式。,北京中科翔龙科技有限公司,20人以下,股份制企业,高中,20,商业信息采集员,300元/天 ,2020-11-13,海淀
教育/培训,PHE青少年书画大会简介PHE青少年书画大会，是由中华文化促进会主办的大型艺术教育活动，该活动以全人类共同关注的焦点问题“和平（PEACE）、健康(HEALTH)、环保(ENVIRONMENT)”为主题，简写为PHE。其活动内容由大赛、大展、大会、论坛、夏令营及助兴文艺演出构成，多角度、全方位地反映国内外青少年的精神风貌，公正、权威、负责地承担起青少年儿童美术教育的导向和推广，并赋予美术教育更...,北京市雅龙文化发展有限公司,20人以下,http://WWW.PHE.ORG.CN,本科,1,书画编辑,5000-8000元 ,2020-11-12,海淀
,,,,,,,,,,
,,,,,,,,,,
金融/银行/投资/基金/证券,接受金融机构委托从事金融信息技术外包服务，项目投资，投资管理，投资咨询，资产管理，经济贸易资讯，企业咨询管理等,北京众培商贸有限公司,20人以下,民营,,,,,,
