actor,score,time,title
"徐峥,周一围,王传君",9.6,2018-07-05,我不是药神
"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",9.5,1994-09-10(加拿大),肖申克的救赎
"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼",9.5,2019-03-01,绿皮书
"蒂姆·罗斯,比尔·努恩,克兰伦斯·威廉姆斯三世",9.3,2019-11-15,海上钢琴师
"吕艳婷,囧森瑟夫,瀚墨",9.6,2019-07-26,哪吒之魔童降世
"中川雅也,安藤樱,松冈茉优",8.1,2018-08-03,小偷家族
"张国荣,张丰毅,巩俐",9.5,1993-07-26,霸王别姬
"罗伯托·贝尼尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克",9.3,2020-01-03,美丽人生
"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",9.0,2010-09-01,盗梦空间
"让·雷诺,加里·奥德曼,娜塔莉·波特曼",9.4,1994-09-14(法国),这个杀手不太冷
"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹•奎因",8.9,2010-07-26(美国),怦然心动
"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦",9.3,2014-11-12,星际穿越
"柊瑠美,周冬雨,入野自由",9.3,2019-06-21,千与千寻
"汤姆·汉克斯,罗宾·怀特,加里·西尼斯",9.4,1994-07-06(美国),阿甘正传
"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",9.1,2011-11-02(法国),触不可及
"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",8.9,1998(罗马尼亚),楚门的世界
"安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔",9.6,2017-11-24,寻梦环游记
"连姆·尼森,拉尔夫·费因斯,本·金斯利",9.2,1993-11-30(美国),辛德勒的名单
"华金·菲尼克斯,罗伯特·德尼罗,亚历克·鲍德温",8.6,2019-10-04(美国),小丑
"阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡",9.8,2017-05-05,摔跤吧！爸爸
"赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔",9.3,2019-04-29,何以为家
"苏拉·沙玛,伊尔凡·可汗,塔布",9.0,2012-11-22,少年派的奇幻漂流
"Forest,理查·基尔,琼·艾伦",9.3,2009-06-13(美国),忠犬八公的故事
"威尔·史密斯,贾登·史密斯,坦迪·牛顿",9.3,2008-01-17,当幸福来敲门
"中山美穗,丰川悦司,范文雀",8.7,1999-03,情书
"热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",8.8,2004-10-16,放牛班的春天
"秦岚,糸井重里,岛本须美",9.2,2018-12-14,龙猫
"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",9.4,1998-04-03,泰坦尼克号
"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛",9.1,2019-04-24,复仇者联盟4：终局之战
"孔刘,郑有美,金智英",8.8,2011-09-22(韩国),熔炉
"阿米尔·汗,黄渤,卡琳娜·卡普",9.1,2011-12-08,三傻大闹宝莱坞
"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩",9.3,2015-04-18,教父
"中谷美纪,永山瑛太,伊势谷友介",8.5,2006-05-27(日本),被嫌弃的松子的一生
"泰伊·谢里丹,奥利维亚·库克,本·门德尔森",9.0,2018-03-30,头号玩家
"弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔",8.6,2018-03-02,三块广告牌
"马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多",9.4,2017-09-15,看不见的客人
"金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴",9.5,2016-03-04,疯狂动物城
"菲利浦·诺瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托",9.2,1988-09-29(意大利),天堂电影院
"葛优,巩俐,牛犇",9.0,1994-05-17(法国),活着
"罗宾·威廉姆斯,伊桑·霍克,柯特伍德·史密斯",8.7,1989-06-02(加拿大),死亡诗社
"提莫西·查拉梅,艾米·汉莫,迈克尔·斯图巴",8.0,2017-01-22(美国),请以你的名字呼唤我
"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",8.8,1992-12-23(美国),闻香识女人
"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",9.3,2008-06-27(美国),机器人总动员
"尊龙,陈冲,彼得·奥图尔",8.8,1987-10-04(日本),末代皇帝
"莫妮卡·安娜·玛丽亚·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳",8.2,2000-10-26(意大利),西西里的美丽传说
"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",9.0,2006-03-23(德国),窃听风暴
"杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",8.8,1975-11-19(美国),飞越疯人院
"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",8.8,2008-12-25(美国),本杰明·巴顿奇事
"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",9.1,2015-04-23,美国往事
"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",8.8,1999-09-10(意大利),搏击俱乐部
"奥黛丽·塔图,马修·卡索维茨,吕菲斯",8.4,2001-04-25(比利时),天使爱美丽
"姜文,周润发,葛优",8.4,2010-12-16,让子弹飞
"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",8.9,2009-08-04,飞屋环游记
"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",9.1,1939-12-15(美国),乱世佳人
"北野武,关口雄介,岸本 加世子",8.8,2020-09-25,菊次郎的夏天
"吴念真,金燕玲,李凯莉",8.9,2017-07-28(中国台湾),一一
"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",8.8,2001-12-13(美国),美丽心灵
"周星驰,朱茵,莫文蔚",8.8,2014-10-24,大话西游之大圣娶亲
"阿什顿·库彻,约翰·帕特里克·阿梅多利,艾米·斯马特",8.7,2004-01-23(美国),蝴蝶效应
"本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯",8.7,2014-09-26(美国),消失的爱人
"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",9.1,1953-08-20(意大利),罗马假日
"拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南",8.7,2014-06-14,布达佩斯大饭店
"卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯",8.8,2017-08-25,海边的曼彻斯特
"约翰·特拉沃尔塔,乌玛·瑟曼,塞缪尔·杰克逊",8.6,1994-05-21(法国),低俗小说
"伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特",8.7,1995-01-27(美国),爱在黎明破晓前
"布拉德·皮特,摩根·弗里曼,格温妮斯·帕特洛",8.7,1995-09-22(美国),七宗罪
"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",8.9,2010-01-04,阿凡达
"艾德里安·布洛迪,马西娅·盖伊·哈登,詹姆斯·肯恩",8.7,2011-04-25(美国),超脱
"阿努克·斯特芬,布鲁诺·甘茨,昆林·艾格匹",9.5,2019-05-16,海蒂和爷爷
"孔刘,郑有美,马东锡",8.9,2016-05-13(法国),釜山行
"张国荣,梁朝伟,张震",9.2,1997-05-17(法国),春光乍泄
"拉米·马雷克,本·哈迪,约瑟夫•梅泽罗",9.4,2019-03-22,波西米亚狂想曲
"伊桑·霍克,朱莉·德尔佩,弗农·多布切夫",8.7,2015-04-20,爱在日落黄昏时
"寺田农,鹫尾真知子,龟山助清",9.0,1992-05-01,天空之城
"宋康昊,郭度沅,吴达洙",8.8,2013-12-18(韩国),辩护人
"约翰尼·德普,薇诺娜·瑞德,黛安娜·威斯特",8.8,1990-12-06(美国),剪刀手爱德华
"刘德华,梁朝伟,黄秋生",9.1,2003-09-05,无间道
"约翰·赵,米切尔·拉,黛博拉·梅辛",8.6,2018-12-14,网络谜踪
"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",9.0,2008-08-28(英国),穿条纹睡衣的男孩
"罗宾·威廉姆斯,马特·达蒙,明妮·德里弗",8.3,1997-12-05(美国),心灵捕手
"沙梅克·摩尔,彭昱畅,杰克·M·约翰森",8.8,2018-12-21,蜘蛛侠：平行宇宙
"梁朝伟,王菲,金城武",8.6,1994-07-14(中国香港),重庆森林
"李甄,薛耿求,严智苑",9.1,2013-10-02(韩国),素媛
"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",8.9,2005-09-02(意大利),断背山
"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",8.8,2006-10-17(意大利),致命魔术
"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",9.3,2008-07-14(阿根廷),蝙蝠侠：黑暗骑士
"亨利·方达,李·科布,马丁·鲍尔萨姆",9.1,1957-04-13(美国),十二怒汉
"杰森·弗莱明,德克斯特·弗莱彻,杰森•斯坦森",8.7,1998-08-28(英国),两杆大烟枪
"泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿",8.5,1957-12-17(美国),控方证人
"乔治·麦凯,迪恩·查尔斯·查普曼,马克·斯特朗",8.6,2020-08-07,1917
"伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格",8.6,2003-12-04(美国),大鱼
"安德鲁·加菲尔德,雨果·维文,卢克·布雷西",9.3,2016-12-08,血战钢锯岭
"雅各布·特瑞布雷,朱莉娅·罗伯茨,欧文·威尔逊",9.2,2018-01-19,奇迹男孩
"休·格兰特,比尔·奈伊,连姆·尼森",8.6,2003-11-21(英国),真爱至上
"郎雄,吴倩莲,杨贵媚",8.8,1994-08-03(美国),饮食男女
"莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯",8.5,2003-04-11,猫鼠游戏
"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪",9.3,2015-07-21,模仿游戏
"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",8.8,2013-09-04(英国),时空恋旅人
"罗伯特·德尼罗,阿尔·帕西诺,乔·佩西",8.5,2019-11-27(美国),爱尔兰人
"娜塔莉·波特曼,文森特·卡索,米拉·库妮丝",8.7,2010-09-01(意大利),黑天鹅
