岗位名称,公司名称,工作地点,薪资,工作福利,公司类型,招聘人数,工作经验,发布日期,公司规模,招聘详情
会计,湖南长沙高兴房地产开发有限公司,长沙-雨花区,6-8千/月,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金,民营公司,5.0,5.0,2021-06-27 09:05:23,150-500人,https://jobs.51job.com/changsha-yhq/123328027.html?s=sou_sou_soulb&t=0_0
会计,武汉孚安特科技有限公司,武汉-东湖新技术产业开发区,4-6千/月,五险一金 年终奖金 周末双休 专业培训 节日福利 绩效奖金,上市公司,6.0,4.0,2021-06-27 09:04:52,500-1000人,https://jobs.51job.com/wuhan-dhxjs/132312302.html?s=sou_sou_soulb&t=0_0
全盘会计,深圳市麦士德福科技股份有限公司,深圳,6-8千/月,五险一金 定期体检 节日福利 包吃 包三餐 包住宿 住房补贴 全勤奖 带薪年假 专业培训,民营公司,5.0,6.0,2021-06-27 09:04:51,500-1000人,https://jobs.51job.com/shenzhen/110756613.html?s=sou_sou_soulb&t=0_0
成本会计,宁波瑞明进出口有限公司,宁波,6-8千/月,五险一金 免费班车 员工旅游 交通补贴 专业培训 出国机会 绩效奖金 定期体检,民营公司,6.0,5.0,2021-06-27 09:04:46,150-500人,https://jobs.51job.com/ningbo/126729711.html?s=sou_sou_soulb&t=0_0
会计,武汉迪赛威智能科技有限公司,武汉,0.7-1.2万/月,五险一金 补充医疗保险 补充公积金 餐饮补贴 通讯补贴 年终奖金 绩效奖金 专业培训 股票期权 员工关怀,民营公司,6.0,6.0,2021-06-27 09:04:45,50-150人,https://jobs.51job.com/wuhan/130028181.html?s=sou_sou_soulb&t=0_0
总账会计、报表会计,爱普香料集团股份有限公司,上海-静安区,0.6-1万/月,做五休二 周末双休 带薪年假 五险一金 节日福利 专业培训 餐饮补贴,上市公司,5.0,5.0,2021-06-27 09:04:45,500-1000人,https://jobs.51job.com/shanghai-jaq/104214131.html?s=sou_sou_soulb&t=0_0
会计助理,浙江海顺电工有限公司,温州,4.5-6千/月,五险 包住宿 节日福利 全勤奖 餐饮补贴 加班补贴,民营公司,5.0,3.0,2021-06-27 09:04:43,150-500人,https://jobs.51job.com/wenzhou/131795883.html?s=sou_sou_soulb&t=0_0
会计助理,美国COPPEL CORPORATION深圳代表处,深圳-南山区,1-1.2万/月,五险一金 年终奖金 做五休二 周末双休 带薪年假 每年调薪 商业保险,外企代表处,6.0,4.0,2021-06-27 09:04:38,少于50人,https://jobs.51job.com/shenzhen-nsq/130987622.html?s=sou_sou_soulb&t=0_0
财务会计,湖北星鹏能源有限公司,武汉,6-8千/月,周末双休 五险 节假日福利,民营公司,5.0,6.0,2021-06-27 09:04:33,少于50人,https://jobs.51job.com/wuhan/112657217.html?s=sou_sou_soulb&t=0_0
会计,北京心知堂文化交流有限公司,北京-大兴区,6-8千/月,五险一金 员工旅游 周末双休,民营公司,5.0,5.0,2021-06-27 09:04:30,少于50人,https://jobs.51job.com/beijing-dxq/129314791.html?s=sou_sou_soulb&t=0_0
会计,深圳市伟莱达电子有限公司,深圳,0.7-1万/月,周末双休 节日福利 带薪年假 全勤奖,民营公司,6.0,4.0,2021-06-27 09:04:28,少于50人,https://jobs.51job.com/shenzhen/129417933.html?s=sou_sou_soulb&t=0_0
财务会计（中国中车、央企）,宁波市江北九方和荣电气有限公司,宁波,7-8万/年,周末双休 节日福利 包吃 五险一金 免费班车 员工旅游 专业培训 年终奖金 定期体检,国企,6.0,10.0,2021-06-27 09:04:20,150-500人,https://jobs.51job.com/ningbo/131506748.html?s=sou_sou_soulb&t=0_0
财务会计,临沂世鼎商贸有限公司,临沂-兰山区,3-4.5千/月,缴纳五险 绩效奖金 专业培训 员工旅游 餐饮补贴,民营公司,5.0,4.0,2021-06-27 09:02:59,150-500人,https://jobs.51job.com/linyi-lsq/127834689.html?s=sou_sou_soulb&t=0_0
会计助理,湖北聚汇农业开发有限公司,荆门,3-4.5千/月,绩效奖金 员工旅游 年终奖金 餐饮补贴,民营公司,5.0,5.0,2021-06-27 09:02:55,150-500人,https://jobs.51job.com/jingmen/132916276.html?s=sou_sou_soulb&t=0_0
主办会计,杭州博纳财务管理有限公司,杭州-滨江区,0.7-1.1万/月,员工旅游 交通补贴 通讯补贴 专业培训 绩效奖金 年终奖金,民营公司,5.0,3.0,2021-06-27 09:02:54,少于50人,https://jobs.51job.com/hangzhou-bjq/132378486.html?s=sou_sou_soulb&t=0_0
销售会计,广州市金钰天成置业有限责任公司,广州-番禺区,6-9千/月,五险一金 员工旅游 绩效奖金 年底双薪 专业培训 餐饮补贴 包吃住 带薪年假,民营公司,6.0,3.0,2021-06-27 09:02:45,50-150人,https://jobs.51job.com/guangzhou-pyq/132638509.html?s=sou_sou_soulb&t=0_0
会计,广东中达新材料科技有限公司,佛山-南海区,5-6千/月,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金,民营公司,5.0,4.0,2021-06-27 09:02:43,50-150人,https://jobs.51job.com/foshan-nhq/131126529.html?s=sou_sou_soulb&t=0_0
总账会计,佛山市赛明照明电器有限公司,佛山-南海区,6-8千/月,五险 专业培训 员工旅游 做五休二 周末双休 包吃 全勤奖 带薪年假 出国机会,民营公司,5.0,4.0,2021-06-27 09:02:41,50-150人,https://jobs.51job.com/foshan-nhq/123577834.html?s=sou_sou_soulb&t=0_0
会计助理,深圳市永至诚贸易有限公司,深圳-罗湖区,4.5-6千/月,五险一金 员工旅游 餐饮补贴 年终奖金 带薪年假 绩效奖金 高温补贴 节日福利,民营公司,5.0,3.0,2021-06-27 09:02:37,50-150人,https://jobs.51job.com/shenzhen-lhq/132959561.html?s=sou_sou_soulb&t=0_0
会计助理,上海维芈家居有限公司,上海-普陀区,5-6千/月,节日福利 专业培训 五险一金,民营公司,5.0,3.0,2021-06-27 09:02:29,50-150人,https://jobs.51job.com/shanghai-ptq/128839428.html?s=sou_sou_soulb&t=0_0
财务会计,广东嘉亚建设有限公司,东莞-南城区,6-8千/月,员工旅游 交通补贴 餐饮补贴 定期体检 绩效奖金 社保,民营公司,5.0,4.0,2021-06-27 09:01:49,50-150人,https://jobs.51job.com/dongguan-ncq/113618570.html?s=sou_sou_soulb&t=0_0
工业会计,广东天仁科技有限公司,广州-白云区,6.5-8.5千/月,节日福利 专业培训 员工旅游 绩效奖金 社保 年终奖金 全勤奖,民营公司,6.0,6.0,2021-06-27 09:01:46,150-500人,https://jobs.51job.com/guangzhou-byq/129414019.html?s=sou_sou_soulb&t=0_0
会计,深圳市安菲力科技有限公司,深圳-南山区,6-8千/月,五险一金 补充公积金 员工旅游 交通补贴 通讯补贴 绩效奖金 年终奖金 定期体检,民营公司,5.0,4.0,2021-06-27 09:01:40,少于50人,https://jobs.51job.com/shenzhen-nsq/123583166.html?s=sou_sou_soulb&t=0_0
商管会计,湖南怡海三湘房地产开发有限公司,长沙-天心区,4.5-7千/月,包吃 包住 通讯补贴 带薪年假 节日福利 全勤 绩效奖金 定期体检 年终奖金 五险,外资（非欧美）,5.0,5.0,2021-06-27 09:01:39,500-1000人,https://jobs.51job.com/changsha-txq/132823437.html?s=sou_sou_soulb&t=0_0
中级会计师,武汉贝帆财务咨询有限公司,武汉-武昌区,6-8千/月,五险一金 交通补贴 通讯补贴 员工旅游 绩效奖金,民营公司,5.0,5.0,2021-06-27 09:01:35,少于50人,https://jobs.51job.com/wuhan-wcq/123588327.html?s=sou_sou_soulb&t=0_0
成本会计主管,广东宏岳塑胶有限公司,云浮,0.6-1万/月,弹性工作 带薪年假 五险一金 节日福利 年终奖金 餐补话补 差旅补贴,民营公司,5.0,5.0,2021-06-27 09:01:32,50-150人,https://jobs.51job.com/yunfu/132953966.html?s=sou_sou_soulb&t=0_0
