福利待遇,数量
",带薪年假,",1
0/5001/101,1
12-20薪,1
13薪,27
13薪/年,1
14-16薪,1
14薪,18
14薪资,1
15~20天年假,1
15天年假,1
15天春节假期,1
15薪,3
16薪,3
18薪,1
20天带薪年假,1
26天制,1
4.5天工作制,1
5.5天工作制,3
500强,6
5A办公楼,1
5A办公环境,1
5天7.5小时,1
5天8小时,3
5险,1
7.5小时每天,1
7小时/天,1
7小时工作制,1
8090后团队,1
8090后多,1
8小时,1
8小时工作制,2
90后团队,2
90后氛围,1
EAP服务,1
MBA培训,1
SOHO办公,1
VIP体检,1
一周休二,1
一周双休,2
一对一导师制,1
一对一指导,1
一年两次晋升,1
一年两次调薪,4
一年加薪一次,1
一年多次加薪,1
一日三餐,2
一档医保,1
一档社保,1
一流办公环境,1
一金12%缴纳,1
一金最高比例,1
七天带薪年假,1
七险一金,15
七险二金,2
三节福利,2
三险,1
三餐水果零食,1
三餐福利,1
上5休2,1
上五休二,5
上升空间大,1
上市企业,2
上市公司,17
上市公司平台,1
上班撸猫,1
下午点心,1
下午茶,111
下午茶多多,1
下午茶点,1
下午茶点心,1
下午茶生日会,2
下午茶福利,5
下午茶零食,2
下午餐,1
不内卷,1
不出差,2
不加班,13
不定时加薪,1
不定时团建,1
不定时聚餐,2
不定期下午茶,2
不定期体检,1
不定期团建,6
不定期团队,1
不定期聚餐,3
不强制加班,1
不穿无尘衣,1
不限量茶歇,1
与公司共成长,1
专业培训,3372
专业培训考证,1
专业序列,1
专业技术团队,1
专利奖,1
专利奖金,1
专家分享,1
世界500强,4
业务奖金,1
业务快发展,1
业务提成,2
业绩为王,1
业绩奖金,1
业绩提成,6
两年一体检,1
个人奖金,1
中秋福利,1
中餐补助,1
中高级,1
丰厚年终,1
丰厚年终奖,3
丰厚提成,2
丰厚收入,1
丰厚节日福利,1
丰厚过节费,1
丰富下午茶,3
丰富员工活动,2
丰富团建,1
丰富培训体系,1
丰富文娱活动,1
丰富晋升平台,1
丰富的中晚餐,1
丰盛午餐晚餐,1
临港人才优惠,1
买社保,3
事业单位,2
事业单位福利,1
事业编制,1
云计算方向,1
互联网,1
互联网大牛,1
互联网教育,1
互联网百强,2
五大行平台,1
五天7.5H,1
五天8小时制,1
五天八小时,9
五天制,5
五天双休,1
五天工作制,6
五百强外企,1
五险,186
五险一金,7477
五险两金,2
五险二金,3
五险双休,1
五险齐全,1
五險,1
交五险,1
交通便利,13
交通方便,2
交通补助,9
交通补贴,1928
交金,1
产/产检假,1
产假,2
产假、陪产假,1
产品新颖,1
产品福利,1
产品项目激励,1
享国家节假日,1
亲属陪护假,1
亲情1+1,1
亲情工资,1
人体工学座椅,1
人工智能,1
人性化,1
人性化办公,1
人性化沟通,1
人性化管理,3
人才住房,1
人才住房补贴,1
人才保障房,1
人才储备,1
人才公寓,4
人才公租房,1
人才培养,1
人才引进,1
人才引进落户,2
人才推荐奖,3
人才落户,1
人身意外险,2
以师带徒,1
企业年金,19
企业文化优秀,1
企业文化好,1
企业美誉度好,1
企业高速发展,1
企事业补助,1
休四天,1
休闲下午茶,1
休闲健身,1
休闲娱乐旅游,1
休闲零时,1
休闲餐点,2
优先推荐入党,1
优秀专业人才,1
优秀员工,1
优秀员工奖,3
优秀员工旅游,1
优秀团队,3
优租房申请,1
优美办公环境,1
优质企业,2
伙食补贴,1
传统节日福利,1
伯乐奖,1
住宿,3
住宿班车,1
住宿补助,1
住宿补贴,8
住房,1
住房公积金,2
住房安家费,1
住房补助,1
住房补贴,130
体检,7
体育活动,1
供午饭,1
供应中晚餐,1
保健卡,1
保密津贴,1
保底底薪,1
保险,4
俱乐部活动,1
假日现金福利,1
假日福利,2
假期,1
假期多,1
假期福利,1
做五休二,396
做六休一,3
停车补贴,1
停车费,1
健康体检,7
健康假,1
健身俱乐部,5
健身卡,1
健身年卡,1
健身房,9
健身房配私教,1
健身瑜伽,1
健身设备,1
健身设施,1
元气团队,1
先进技术培训,1
免息房贷,1
免息车贷,1
免费三餐,5
免费下午茶,4
免费丰盛三餐,1
免费交通车,1
免费住宿,20
免费体检,10
免费体育活动,1
免费停车,11
免费健身,3
免费健身房,9
免费公寓,2
免费包吃住,1
免费医药柜,1
免费午餐,16
免费午餐茶歇,1
免费吃住,1
免费员工宿舍,1
免费咖啡,2
免费咖啡啤酒,1
免费咖啡零食,1
免费团建,1
免费培训,2
免费宿舍,1
免费小区住宿,1
免费工作餐,25
免费提供住宿,1
免费提供午餐,1
免费提供食宿,1
免费旅游体检,1
免费早中晚餐,1
免费早午餐,2
免费早餐,4
免费晚餐,1
免费水果,1
免费班车,756
"免费班车,",1
免费用餐,1
免费自助午餐,1
免费集体宿舍,1
免费零食,11
免费零食水果,1
免费零食饮料,3
免费食堂,2
免费食宿,8
免费餐厅,1
入户广州,1
入职五险,1
入职交五险,2
入职即买社保,1
入职礼物,1
入职纪念假,1
入职缴社保,1
入职购买五险,2
全勤奖,504
全勤奖金,2
全勤獎,1
全员深户医疗,1
全员社保,1
全国连锁品牌,1
全天候零食,1
全年十四薪,1
全球化产品,1
全薪假期,1
全薪年病假,1
全薪病假,2
全额五险一金,5
全额公积金,9
全额加班费,1
全额福利,1
全额缴公积金,1
全额金险,1
全额项目工资,1
八小时,1
八小时双休,1
八小时工作制,1
八险一金,2
公司下午茶,1
公司产品体验,1
公司分成激励,1
公司分红,1
公司前景好,1
公司团建,3
公司团队年轻,1
公司大牛多,1
公司带薪年假,1
公司平台好,1
公司提供租房,1
公司旅游,3
公司春游,1
公司氛围,1
公司氛围好,5
公司氛围超好,1
公司活动,3
公司福利,1
公司福利好,1
公司美女多,1
公司聚餐,1
公司自有食堂,1
公司规模大,13
公司计划上市,1
公司重点项目,11
公司食堂,1
公寓式住宿,1
公平晋升机会,1
公积金12%,1
公积金全额,1
公费旅游,2
六险,6
六险一金,75
六险两金,2
六险二金,4
其他奖金,1
其他补贴,1
其它激励,1
内部健身房,1
内部竞聘,1
内部购金优惠,1
军工央企,1
准独角兽企业,1
出国培训,1
出国旅游,3
出国机会,484
出国游,1
出国游学,1
出差津贴,2
出差租车,1
出差补助,3
出差补贴,35
分红奖金,1
分红激励,1
创业公司,7
创业团队,1
创业基金,1
创新型企业,1
创新奖励,1
别墅办公居住,1
前景好,3
办公娱乐,1
办公室漂亮,1
办公室零食,3
办公氛围好,2
办公环境优美,3
办公环境优越,1
办公环境好,4
办公环境舒适,1
办理社保,1
加班可调休,1
加班少,6
加班少可调休,1
加班工资,3
加班晚餐,1
加班晚餐补贴,1
加班津贴,2
加班福利,1
加班补休,1
加班补助,21
加班补贴,289
加班调休,3
加班费,8
加班餐,1
加班餐与车补,1
加班餐补,4
劳保,1
劳保福利,1
劳保费,1
劳动保护,1
包三餐,41
包三餐包住宿,1
包两餐,3
包中餐,5
包中餐、晚餐,1
包住,23
包住宿,172
包住提供吃,1
包午餐,10
包午餐晚餐,1
包吃,147
包吃住,8
包吃包住,50
包工作餐,3
包晚餐,2
包食宿,7
包餐,8
北京大学培训,1
北京高校,1
医疗器械,1
十三薪,12
十五天年假,1
十五薪,1
十四薪,1
十天年假,1
午茶点心,1
午餐,1
午餐晚餐,1
午餐补助,15
午餐补贴,2
半年固定涨薪,1
半年度奖金,1
半年度调薪,1
半年调薪机会,1
半月春节假期,1
单休制,1
单休排休,1
单位食堂,2
单双休,3
单双休轮休,1
单双周休,1
单身宿舍,2
单间住宿,1
原创团队,1
参与分红,1
参加福利积分,1
双休,35
双休+年假,1
双休-1,1
双休制,1
双周春节薪假,1
双薪~六薪,1
双通道发展,1
双通道晋升,1
发展前景,1
发展前景优,1
发展前景佳,1
发展前景大,1
发展平台,1
发展快,1
发展潜力大,1
发展空大,1
发展空间,5
发展空间open,1
发展空间大,32
发展空间巨大,1
发展迅速,1
取暖补贴,3
取暖费,2
取暖降温费,1
可买深圳社保,1
可买社保,1
可住宿,1
可口午餐,1
可在家办公,1
可提供住宿,1
可调休,1
司龄奖,1
司龄年假,1
司龄津贴,1
司龄礼物,1
司龄补贴,2
各种活动,1
各种节日福利,1
各类假期,1
各类奖金补贴,1
各类津贴,1
各类社团活动,1
各类补贴,1
各项补贴,1
合伙人分红,1
合伙人机会,1
合伙人计划,1
同事nice,2
同事好相处,1
同事颜值高,1
员工下午茶,3
员工住宿,1
员工体检,14
员工俱乐部,1
员工公寓,1
员工关怀,4
员工关系融洽,1
员工团建,2
员工团建旅游,1
员工培训,3
员工奖,1
员工家属福利,1
员工宿舍,30
员工折扣,2
员工持股,1
员工持股计划,3
员工旅游,3243
员工期权激励,1
员工每月聚餐,1
员工活动,15
员工活动经费,1
员工班车,2
员工生日,3
员工生日会,7
员工生日礼金,1
员工生日福利,1
员工福利,3
员工素质高,1
员工聚餐,3
员工节日礼物,1
