rank,storeName,addressDetail,pro,provinceName,cityName
1,石路新苏餐厅,广济南路219号石路天虹商场负1楼,"Wi-Fi,店内参观,礼品卡",江苏省,苏州市
2,黄河路餐厅,黄河路与天台路交叉口天虹百货楼下肯德基餐厅,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会",湖南省,株洲市
3,天虹百货餐厅,芙蓉南路368号BOBO天下城,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会",湖南省,长沙市
4,翠微路餐厅,章贡区中航城九方天虹广场一楼,"Wi-Fi,点唱机,礼品卡,生日餐会",江西省,赣州市
5,创新餐厅,沙井镇中心路创新路口沙井天虹商场首层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会",广东省,深圳市
6,中兴餐厅,布吉街道中兴路中心大道路口布吉天虹商场1层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会",广东省,深圳市
7,宝利豪庭餐厅,松岗宝利豪庭首层松岗天虹大门右侧,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会",广东省,深圳市
8,吉祥餐厅,吉祥路天虹商场一楼,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会",广东省,深圳市
9,格澜郡餐厅,格澜郡.（观澜天虹）肯德基,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会",广东省,深圳市
10,民治餐厅,民治街道民治大道路与民丰路交汇处横岭工业区B栋1065号天虹商场首层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会,手机点餐",广东省,深圳市
11,黄江环城路餐厅,黄江镇天虹商场首层,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会",广东省,东莞市
12,厦门绿苑新城餐厅,沧林东路278号绿苑新城天虹商场一层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会",福建省,厦门市
13,常熟天虹餐厅,常熟市招商北路8号(常熟天虹服装城),"24小时,Wi-Fi,店内参观,礼品卡",江苏省,苏州市
14,木渎金山(天虹旁）餐厅,木渎镇金山路37号(天虹旁）,"Wi-Fi,店内参观,礼品卡,生日餐会",江苏省,苏州市
15,园区苏雅餐厅,工业园区苏雅路388号园区天虹A座一楼肯德基,"Wi-Fi,礼品卡",江苏省,苏州市
16,龙观餐厅,龙观西路龙华天虹商场首层肯德基,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会",广东省,深圳市
17,嘉御山餐厅,坂田街道五和大道与吉华路交汇处坂田天虹商场一楼,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会",广东省,深圳市
18,进贤天虹餐厅,进贤民和镇胜利南路天集商业广场天虹商场一、二楼,"Wi-Fi,店内参观,礼品卡,生日餐会",江西省,南昌市
19,福民路餐厅,福民路星河明居裙楼(天虹百货)一楼1002部分,"24小时,Wi-Fi,礼品卡,生日餐会",广东省,深圳市
20,肯德基中航天逸餐厅餐厅,龙华区人民南路2020号龙华天虹购物中心一层L126号铺,"Wi-Fi,店内参观,礼品卡,生日餐会",广东省,深圳市
21,开城天虹餐厅,淡水开城大道旺东怡和家园裙房商业首层P105号商铺,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会",广东省,惠州市
