title,time,price,company,trip1,total1,lzList1,trip2,total2,lzList2
长沙1路公交车路线,长沙火车站05:30-24:00 |碧沙湖地铁站05:30-24:00,空调车2元,湖南巴士公共交通有限公司四公司,长沙火车站(北坪)—碧沙湖地铁站,共20站,长沙火车站(北坪)->蓉园路口->省公安厅->袁家岭(长沙银行湘银支行)->省军区->清水塘->小吴门->中山路->先锋厅->长沙轮渡->橘子洲大桥东->坡子街(北京银行)->西湖桥->碧湘街->书院路->第一师范->大椿桥->杏花园->碧沙湖->碧沙湖地铁站,碧沙湖地铁站—长沙火车站(北坪),共19站,碧沙湖地铁站->碧沙湖->杏花园->大椿桥->第一师范->书院路->碧湘街->西湖桥->坡子街(北京银行)->长沙轮渡->先锋厅(中山亭)->中山路->小吴门->清水塘->省军区->袁家岭(长沙银行湘银支行)->省公安厅->晓园路->长沙火车站(北坪)
长沙10路公交车路线,长沙火车站06:00-21:00 |湖南农大06:00-21:00,空调车2元,湖南巴士公共交通有限公司一公司,长沙火车站(南坪)—湖南农大,共15站,长沙火车站(南坪)->五里牌->火星镇->马王堆(长沙银行东城支行)->陶家山->远大路古曲路口->东屯渡桥西->东屯渡桥东->汽车东站->东大门->张公岭->张公岭东->远大路望龙路口->农校->湖南农大,湖南农大—长沙火车站(南坪),共20站,湖南农大->农校->马坡岭->远大路望龙路口->张公岭东->张公岭->东大门->汽车东站->东屯渡桥东->东屯渡桥西->远大路古曲路口->陶家山->马王堆(长沙银行东城支行)->火星镇->锦泰广场->锦泰广场地铁站->杨家山北->杨家山西(高建市场)->朝阳村地铁站->长沙火车站(南坪)
长沙11路公交车路线,赤岗冲06:30-20:00 |沿河路公交首末站06:30-20:00,空调车2元,湖南龙骧巴士有限责任公司,赤岗冲—沿河路公交首末站,共29站,赤岗冲(宏朗眼科医院)->东塘东->东塘西->雅礼中学->省儿童医院->红旗药号->广济桥(梓园路)->梓园路北口->地质中学->识字岭(千思装饰)->凤凰台->定王台(长沙银行华龙支行)->柑子园(省人民医院天心阁院区)->贾谊故居->解放路西口->长沙轮渡->潮宗街->通泰街->三角塘->湘江路湘雅路口->竹山园->开福寺西->新河->新河北->三馆一厅->凤亭路口->江湾路口->北雅中学->沿河路公交首末站,沿河路公交首末站—赤岗冲,共30站,沿河路公交首末站->北雅中学->江湾路口->凤亭路口->三馆一厅->新河北->新河->开福寺西->竹山园->湘江路湘雅路口->通泰街->潮宗街->长沙轮渡->橘子洲大桥东->解放路西口->贾谊故居->柑子园->定王台(长沙银行华龙支行)->识字岭(千思装饰)->地质中学->梓园路北口->广济桥->长沙市第十一中学->义茶亭(长沙银行金城支行)->小林子冲->侯家塘北->雅礼中学->东塘西->东塘东->赤岗冲(宏朗眼科医院)
长沙12路公交车路线,汽车西站--长沙火车站全天24小时运营,空调车2元,湖南巴士公共交通有限公司三公司,汽车西站—长沙火车站(北坪),共15站,汽车西站->望城坡->湖湘中医肿瘤医院->湖南财政经济学院->望麓桥->省人防办->省人防办东->高叶塘->溁湾镇地铁站->太平街口->南阳街口(牛耳教育)->韭菜园->袁家岭地铁站->五一大道长岛路口->长沙火车站(北坪),长沙火车站(北坪)—汽车西站,共14站,长沙火车站(北坪)->五一大道长岛路口->袁家岭地铁站->韭菜园->南阳街口(牛耳教育)->太平街口->高叶塘->省人防办东->省人防办->望麓桥->湖南财政经济学院->湖湘中医肿瘤医院->望城坡->汽车西站
长沙15路公交车路线,赤岗冲--跳马镇(佳兆业)夏06:20-20:30 冬06:30-20:00,空调车2元,湖南龙骧巴士有限责任公司,赤岗冲(多功能坪)—跳马镇(佳兆业),共45站,赤岗冲公交首末站->东塘东->东塘南(省中医附一院)->砂子塘->雨花亭北(百杏堂名医馆)->桔园立交桥北->铁道学院->长沙市中心医院->潇湘晨报->林科大->井坡子->木莲路韶山路口->木莲路林大路口->林大路木莲路口->林大路友谊路口->市委党校西门->青园小学->湖南人才市场(万芙路)->万芙路湘府路口->高家冲->万芙路杉木冲路口->万芙路桂花坪路口->万芙路时代阳光大道口->和平小区->万芙路中意路口->保险职业学院->仰天湖中建小学->大托镇->湘府中学西门->友阿奥特莱斯->环保大道芙蓉南路口->环保大道果子园路口->长沙理工大医院->省税务局->振华路汇金路口->振华路金海路口->振华路万家丽路口->振华路正大路口->振华路兴安路口->振华路圭白路口->洪塘村->八家冲->振华路次一路口->振华路西湖大道口->跳马镇(佳兆业),跳马镇(佳兆业)—赤岗冲(多功能坪),共44站,跳马镇(佳兆业)->振华路西湖大道口->振华路次一路口->八家冲->洪塘村->振华路圭白路口->振华路兴安路口->振华路正大路口->振华路万家丽路口->振华路金海路口->振华路汇金路口->省税务局->长沙理工大医院->环保大道芙蓉南路口->友阿奥特莱斯->湘府中学西门->仰天湖中建小学->保险职业学院->万芙路中意路口->和平小区->万芙路时代阳光大道口->万芙路桂花坪路口->万芙路杉木冲路口->高家冲->万芙路湘府路口->湖南人才市场(万芙路)->青园小学->市委党校西门->林大路友谊路口->林大路木莲路口->木莲路林大路口->木莲路韶山路口->井坡子->林科大->潇湘晨报->长沙市中心医院->铁道学院->桔园立交桥北->雨花亭北(百杏堂名医馆)->砂子塘->东塘南(省中医附一院)->东塘东->野坡(中诺口腔医院)->赤岗冲公交首末站
长沙16路公交车路线,汽车南站06:20-21:00 |长沙火车南站06:20-22:00 ,空调车2元,湖南龙骧巴士有限责任公司,汽车南站过渡站—长沙火车南站,共17站,汽车南站->汽车南站综合交通枢纽->洞井铺->省植物园->高升村南->莲花小区->省植物园北->省环保厅->煤田地质局(长沙银行高信支行)->大塘地铁站->窑坡->雨花区政府北->龙骧巴士公司->圭塘->长托->东山村->长沙火车南站,长沙火车南站(三)—汽车南站过渡站,共20站,长沙火车南站(三)->东山村->长托->圭塘->龙骧巴士公司->雨花区政府北->窑坡->大塘地铁站->煤田地质局(长沙银行高信支行)->省环保厅->唐湘电器市场->湘府路口->湘府路万家丽路口->省植物园北->湘府路圭塘路口->莲花小区->高升村南->省植物园->洞井铺->汽车南站
长沙17路公交车路线,汽车南站05:50-20:30 |汽车西站05:50-21:00,空调车2元,湖南龙骧巴士有限责任公司,汽车南站过渡站—汽车西站,共33站,汽车南站->汽车南站综合交通枢纽->洞井铺->省植物园->高升村南->高升村北->红星村南->中建五局(舒适口腔)->井湾子南(长沙九龙医院)->井湾子北->井坡子->林科大->潇湘晨报->长沙市中心医院->铁道学院->浦沅南->丁家垅->新开铺路口->南郊公园->阳光100国际新城->后湖路口->罗家嘴立交桥->桃园村->沙泥塘->王家湾->王家湾北->树达学院->桃花岭->瓜瓢山->丝茅坪->联络村->望城坡南->汽车西站,汽车西站—汽车南站过渡站,共31站,汽车西站->望城坡南->联络村->丝茅坪->瓜瓢山->桃花岭->树达学院->王家湾北->王家湾->沙泥塘->桃园村->阳光100国际新城->八水厂->南郊公园->新开铺路口->丁家垅->浦沅南->省红十字会->铁道学院->长沙市中心医院->潇湘晨报->林科大->井坡子->井湾子北->井湾子南(长沙九龙医院)->中建五局(舒适口腔)->红星村南->高升村南->省植物园->洞井铺->汽车南站
长沙18路公交车路线,东方红路公交首末站 夏06:00-20:00 冬06:30-20:00 |解放路西口 夏06:00-21:00 冬06:30-20:00,空调车2元,湖南龙骧巴士有限责任公司,东方红路首末站—解放西路口,共35站,东方红公交首末站->谷苑路嘉运路口->和馨园->麓谷汽车城->嘉运路东方红路口->枫林路栖才路口->湖南第一师范学院->涉外西门->麓松路长塘路口->涉外北门->锦和园小区北->文轩路平川路口(长沙银行科技支行)->文轩路麓谷大道口->麓谷小学->高新区管委会(谷园路)->麓枫路麓天路口->湖南师大二附中->博才实验中学->麓天路玉兰路口->玉兰路桐梓坡路口->望城坡环球家居->玉兰路重阳路口->湘江新区综合交通枢纽->望城坡->湖湘中医肿瘤医院->湖南财政经济学院->望麓桥->省人防办->省人防办东->高叶塘->溁湾镇地铁站->太平街口->南阳街口(牛耳教育)->贾谊故居->解放路西口,解放西路口—东方红路首末站,共31站,解放路西口->高叶塘->省人防办东->省人防办->望麓桥->湖南财政经济学院->湖湘中医肿瘤医院->望城坡->湘江新区综合交通枢纽->玉兰路重阳路口->望城坡环球家居->玉兰路桐梓坡路口->麓天路玉兰路口->博才实验中学->湖南师大二附中->麓枫路麓天路口->高新区管委会->麓谷大道谷苑路口->文轩路麓谷大道口->文轩路平川路口(长沙银行科技支行)->锦和园小区北->涉外北门->麓松路长塘路口->涉外西门->湖南第一师范学院->枫林路栖才路口->嘉运路东方红路口->麓谷汽车城->和馨园->谷苑路嘉运路口->东方红公交首末站
长沙19路公交车路线,赤岗冲公交首末站 冬06:30-20:30 夏06:00-21:00 |北辰三角洲 冬06:30-20:30 夏06:00-21:00,空调车2元,湖南龙骧巴士有限责任公司,赤岗冲(多功能坪)—栖凤路紫凤路口,共34站,赤岗冲公交首末站->赤岗冲(宏朗眼科医院)->赤岗岭->茶园坡->劳动路车站南路口->车站路劳动路口->茶园坡路口->红花坡->狮子山南->高桥大市场南->马王堆路朝晖路口->马王堆路人民路口->樟木坝->马王堆路荷花路口->长郡芙蓉中学->惠泽园->马王堆市场->马王堆路凌霄路口->长沙市实验中学->龙柏路口->省检察院->芙蓉苑->火炬路西->火炬路湘湖路口->兑泽街->跃进湖->丝茅冲地铁站->喻家冲->国防科大->九尾冲->陡岭->陡岭路双拥路口->栖凤路新码头路口->栖凤路紫凤路口,栖凤路紫凤路口—赤岗冲(多功能坪),共37站,栖凤路紫凤路口->北辰三角洲地铁站->黄兴北路晴岚路口->栖凤路新码头路口->陡岭路双拥路口->陡岭->九尾冲->国防科大->三一大道口->丝茅冲地铁站->跃进湖->兑泽街->烈士公园东门->火炬路湘湖路口->火炬路西->芙蓉苑->省检察院->龙柏路口->长沙市实验中学->马王堆路凌霄路口->马王堆市场->惠泽园->长郡芙蓉中学->马王堆路荷花路口->樟木坝->马王堆路人民路口->马王堆路朝晖路口->高桥大市场南->狮子山南->红花坡->茶园坡路口->车站路劳动路口->劳动路车站南路口->茶园坡->赤岗岭->赤岗冲(宏朗眼科医院)->赤岗冲公交首末站
长沙101路公交车路线,南湖公交首末站06:00-22:00 |学堂园路东口06:00-22:00,空调车2元,湖南巴士公共交通有限公司四公司,桃子湖路—德汇路口,共28站,南湖公交首末站->殷家冲北->玉泉寺(三真康复书院路院区)->天心一中->古堆山->长坡(南湖医院)->天剑路口->侯家塘南->侯家塘->侯家塘北->红旗药号(林子冲路)->广济桥(梓园路)->梓园路北口->窑岭东->人民路曙光路口->人民路立交桥西->朝阳村地铁站->长沙火车站->五里牌北(长沙德韩口腔医院)->竹园路口->蓉园小区->王府花园(新华联)->兑泽街->跃进湖->丝茅冲地铁站->三一大道口->四方坪地铁站->学堂园路东口,德汇路口—桃子湖路,共32站,学堂园路东口->德汇路德景巷口->双拥路->学堂园路口->四方坪地铁站->三一大道口->丝茅冲地铁站->跃进湖->兑泽街->烈士公园东门->王府花园(新华联)->蓉园小区->竹园路口->五里牌北(长沙德韩口腔医院)->长沙火车站->朝阳村地铁站->人民路立交桥西->人民路曙光路口->窑岭东->梓园路北口->广济桥(梓园路)->红旗药号->省儿童医院->侯家塘->侯家塘南->天剑路口->长坡(南湖医院)->古堆山->天心一中->玉泉寺(三真康复书院路院区)->殷家冲北->南湖公交首末站
