position,company,salary,work_place,company_type,work_year,update,welfare
音频算法工程师,深圳昱拓智能有限公司,1-1.5万/月,长沙-雨花区,民营公司,4,2021-03-15 09:00:13,
大数据开发工程师,中科博华信息科技有限公司,1.4-2万/月,长沙-岳麓区,民营公司,5,2021-03-15 08:35:14,专业培训 餐饮补贴 五险一金 员工旅游 年终奖金 年底双薪
后端开发工程师,湖南邦邦客大数据有限公司,0.8-1万/月,益阳,民营公司,5,2021-03-14 16:00:01,
生物信息-软件工程师,华智生物技术有限公司,1-1.5万/月,长沙-芙蓉区,民营公司,5,2021-03-13 11:00:01,五险一金 补充公积金 免费班车 专业培训 通讯补贴 交通补贴 绩效奖金 年终奖金 定期体检 员工旅游
软件系统总架构师,湖南航天诚远精密机械有限公司,20-50万/年,长沙-岳麓区,国企,6,2021-03-12 08:44:37,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 专业培训 年终奖金 定期体检 企业年金 带薪年假
LinuxC开发工程师(长沙）,北京启明星辰信息安全技术有限公司,0.8-1.5万/月,长沙,上市公司,4,2021-03-11 15:43:40,五险一金 补充医疗保险 定期体检 交通补贴 通讯补贴 全额公积金 餐饮补贴
急聘JAVA开发工程师,广州欣诚企业管理有限公司,0.8-1.2万/月,长沙-岳麓区,民营公司,4,2021-03-10 10:14:40,五险一金 包吃 周末双休 年底双薪 话补 交通补贴
数据工程师,湖南橘客信息技术有限公司,0.7-1.1万/月,长沙-岳麓区,民营公司,4,2021-03-08 14:52:03,周末双休 老板nice 上升空间 绩效奖金 带薪年假
Java工程师,深圳萨摩耶数字科技有限公司,6-8千/月,长沙-岳麓区,民营公司,3,2021-03-08 10:59:21,五险一金 年终奖金 弹性工作 周末双休
云计算工程师（分布式存储）,湖南博匠信息科技有限公司,1.5-2万/月,长沙-岳麓区,民营公司,5,2021-03-05 08:52:32,五险一金 交通补贴 餐饮补贴 通讯补贴 年终奖金 全勤奖 周末双休
arcgis二次开发,湖南星图空间信息技术有限公司,6-8千/月,长沙-天心区,民营公司,3,2021-03-02 17:13:37,五险一金 周末双休 绩效奖金 年终奖金 员工旅游 定期体检 专业培训
大数据开发/分析,湖南草花互动科技股份公司,0.8-1.3万/月,长沙,民营公司,4,2021-03-02 11:42:35,六险一金 半年度调薪 包中餐、晚餐 节假日福利 生日福利 免费健身房
全栈开发工程师,深圳市九立供应链股份有限公司,1-1.8万/月,长沙-雨花区,民营公司,3,2021-03-02 11:31:53,五险一金 补充医疗保险 员工旅游 出国机会 专业培训 定期体检 弹性工作 年终奖金 绩效奖金 人才公寓
大数据架构师,湖南华创科技发展有限公司,1.5-2.5万/月,长沙-岳麓区,民营公司,8,2021-03-01 10:24:54,
高级软件测试工程师（平台技术部）,中科云谷科技有限公司,1-1.5万/月,长沙-岳麓区,国企,5,2021-03-01 10:00:01,周末双休 带薪年假 五险一金 免费班车 高温补贴 包住宿 绩效奖金 工作餐 专业培训
逆向工程师,湖南网启网络科技有限公司,1-2万/月,长沙-岳麓区,民营公司,4,2021-02-26 17:00:01,
数据开发工程师(长沙),浩鲸云计算科技股份有限公司,1.2-2万/月,长沙,合资,6,2021-02-26 15:36:59,六险一金 交通补贴 餐饮补贴 绩效奖金 职业发展 定期体检 员工旅游
高级C++软件研发工程师,湖南海森格诺信息技术有限公司,1.5-2万/月,长沙-长沙县,民营公司,5,2021-02-26 11:00:01,五险一金 餐饮补贴 交通补贴 绩效奖金 节假日福利 产假、陪产假 周末双休 年终奖 项目奖
数据开发工程师,北京海天起点技术服务股份有限公司,1.1-2万/月,长沙-天心区,民营公司,5,2021-02-26 10:00:01,做五休二 周末双休 带薪年假 五险一金 节日福利 高温补贴 通讯补贴
非标设计工程师（物流软件方向）,珠海凌达压缩机有限公司,6-8千/月,异地招聘,国企,3,2021-02-26 09:09:54,五险一金 补充医疗保险 补充公积金 免费班车 员工旅游 年终奖金 绩效奖金 定期体检 餐饮补贴
大数据开发工程师,北京汇天世纪科技有限公司,1-1.5万/月,长沙-开福区,民营公司,5,2021-02-25 16:49:36,五险一金 交通补贴 通讯补贴 年终奖金 定期体检
大数据开发工程师,中烟物流技术有限责任公司,20-30万/年,长沙-芙蓉区,国企,3,2021-02-25 10:07:37,五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训 弹性工作 定期体检 年终奖金
OS开发工程师,湖南长城信息金融设备有限责任公司,1.5-2万/月,长沙-长沙县,国企,5,2021-02-24 10:58:45,五险一金 免费班车 餐饮补贴 通讯补贴 专业培训 定期体检 绩效奖金 补充医疗保险
交换机驱动开发工程师,湖南恒茂高科股份有限公司,1.2-2万/月,长沙,民营公司,,2021-02-23 21:08:49,包吃 五险一金 弹性工作 专业培训 绩效奖金 年终奖金
程序开发工程师,湖南湖大艾盛汽车技术开发有限公司,0.6-1.2万/月,长沙,民营公司,3,2021-02-23 16:36:12,五险一金 年终奖金 周末双休 餐饮补贴 定期体检 住房补贴 商业意外险
Java高级开发工程师,长沙赛群信息科技有限公司,0.8-1.5万/月,长沙-开福区,民营公司,5,2021-02-23 04:01:44,五险一金 绩效奖金 年终奖金 餐饮补贴
Java开发工程师,深圳市长亮科技股份有限公司,1-1.5万/月,异地招聘,上市公司,3,2021-02-22 11:54:16,五险一金 补充医疗保险 员工旅游 餐饮补贴 通讯补贴 专业培训 年终奖金 弹性工作 定期体检
SLAM算法,长沙万为机器人有限公司,2-3万/月,长沙,民营公司,5,2021-02-20 11:25:47,五险一金 弹性工作 加班补贴 朝九晚六 绩效奖金 年终奖金
C++软件工程师,中联农业机械股份有限公司,0.8-1.5万/月,长沙-岳麓区,国企,5,2021-02-20 08:00:16,五险一金 免费班车 餐饮补贴 定期体检 年终奖金 周末双休 带薪年假 包吃 包住宿 节日福利
JAVA开发（数据）,长沙市规划信息服务中心,1-1.5万/月,长沙-岳麓区,事业单位,3,2021-02-19 16:25:14,五险一金
Linux&Windows主机安全研发工程师,中通服创发科技有限责任公司,1-1.5万/月,长沙-芙蓉区,国企,5,2021-02-18 09:57:46,五险一金 餐饮补贴 通讯补贴 绩效奖金 定期体检
计算机软件开发工程师,三一重型能源装备有限公司,1.5-3万/月,异地招聘,民营公司,4,2021-01-31 15:00:01,五险一金 免费班车 餐饮补贴 专业培训 绩效奖金 年终奖金 提供住宿
大数据开发工程师,上海井胜通讯技术有限公司,1-2万/月,长沙,民营公司,5,2021-01-28 20:07:25,五险一金 带薪年假
数据开发工程师,浩鲸新智能科技股份有限公司,1-1.5万/月,长沙-岳麓区,民营公司,5,2021-01-25 13:41:22,七险一金 补充医疗保险 免费班车 员工旅游 餐饮补贴 专业培训 年终奖金 定期体检
云平台技术工程师,长沙罗鸿网络工程有限公司,0.6-1.2万/月,长沙,民营公司,4,2021-01-22 08:44:54,五险一金 员工旅游 餐饮补贴 专业培训 年终奖金
python讲师纯教学双休,深圳市柒陆文化发展有限公司,0.8-1.5万/月,长沙-岳麓区,民营公司,10,2021-03-22 09:34:47,五险一金 带薪年假 定期体检 弹性工作 高温补贴 餐饮补贴 全勤奖 交通补贴 包住宿 住房补贴
python讲师（纯教学）+双休,长沙川谷信息科技有限公司,0.7-1万/月,长沙-岳麓区,民营公司,3,2021-03-22 09:29:33,五险一金 年终奖金 绩效奖金 带薪年假 做五休二 员工食堂
Python自动化测试讲师,湖南省零檬信息技术有限公司,1.6-2.5万/月,长沙-岳麓区,创业公司,6,2021-03-22 04:01:32,
Python讲师（双休）,湖南云谷人力资源服务有限公司,0.8-1万/月,长沙-岳麓区,民营公司,3,2021-03-21 16:50:16,五险一金 绩效奖金 带薪年假 员工食堂
软件测试讲师（Python自动化测试讲师）,湖南码尚教育咨询有限公司,1-2万/月,长沙-岳麓区,民营公司,6,2021-03-20 18:09:34,
Python讲师,岳阳市海纳软件技术有限公司,3-8千/月,岳阳,民营公司,5,2021-02-18 09:38:01,五险一金 餐饮补贴 通讯补贴 专业培训 绩效奖金
Python2后端研发工程师,湖南小梦科技有限公司,1.4-1.8万/月,长沙-望城区,民营公司,5,2021-02-07 04:01:05,年终奖金 绩效奖金 定期体检 包吃
Python讲师8k-12k,湖南缔凡教育科技有限公司,0.8-1.5万/月,长沙-岳麓区,民营公司,3,2021-02-06 13:58:39,专业培训 绩效奖金 年终奖金 定期团建 包住宿 五险一金
高级测试工程师,湖南汉坤实业有限公司,10-15万/年,长沙,民营公司,6,2021-03-22 09:32:47,包吃 包住 生日红包 新年红包 年终丰厚奖金 五险 弹性工作
数据标注开发实习生（长沙）,亚信科技(中国)有限公司,,长沙,外资（欧美）,,2021-03-22 09:31:16,
软件测试工程师,长沙海格北斗信息技术有限公司,6-8千/月,长沙,国企,3,2021-03-22 09:02:59,五险一金 餐饮补贴 定期体检 年终奖金 绩效奖金 周末双休 带薪年假
水力模型算法工程师,长沙市盛唐科技有限公司,1.2-1.5万/月,长沙-岳麓区,民营公司,5,2021-03-22 08:08:58,
运维实施工程师,湖南创亿达实业发展有限公司,4-8千/月,邵阳,民营公司,6,2021-03-22 08:02:47,五险一金 股票期权 定期体检 绩效奖金 员工旅游 弹性工作
算法工程师,湖南军芃科技股份有限公司,7-9千/月,长沙-岳麓区,民营公司,3,2021-03-22 08:02:46,五险一金 补充医疗保险 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 周末双休 节日福利
自动化运维工程师,上海天玑科技股份有限公司,0.8-1万/月,长沙-芙蓉区,上市公司,4,2021-03-22 08:02:18,五险一金 餐饮补贴 通讯补贴 专业培训 绩效奖金 员工旅游 年终奖金 交通补贴 定期体检
音频算法工程师,深圳昱拓智能有限公司,1-1.5万/月,长沙-雨花区,民营公司,4,2021-03-15 09:00:13,
大数据开发工程师,中科博华信息科技有限公司,1.4-2万/月,长沙-岳麓区,民营公司,5,2021-03-15 08:35:14,专业培训 餐饮补贴 五险一金 员工旅游 年终奖金 年底双薪
后端开发工程师,湖南邦邦客大数据有限公司,0.8-1万/月,益阳,民营公司,5,2021-03-14 16:00:01,
生物信息-软件工程师,华智生物技术有限公司,1-1.5万/月,长沙-芙蓉区,民营公司,5,2021-03-13 11:00:01,五险一金 补充公积金 免费班车 专业培训 通讯补贴 交通补贴 绩效奖金 年终奖金 定期体检 员工旅游
软件系统总架构师,湖南航天诚远精密机械有限公司,20-50万/年,长沙-岳麓区,国企,6,2021-03-12 08:44:37,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 专业培训 年终奖金 定期体检 企业年金 带薪年假
LinuxC开发工程师(长沙）,北京启明星辰信息安全技术有限公司,0.8-1.5万/月,长沙,上市公司,4,2021-03-11 15:43:40,五险一金 补充医疗保险 定期体检 交通补贴 通讯补贴 全额公积金 餐饮补贴
急聘JAVA开发工程师,广州欣诚企业管理有限公司,0.8-1.2万/月,长沙-岳麓区,民营公司,4,2021-03-10 10:14:40,五险一金 包吃 周末双休 年底双薪 话补 交通补贴
数据工程师,湖南橘客信息技术有限公司,0.7-1.1万/月,长沙-岳麓区,民营公司,4,2021-03-08 14:52:03,周末双休 老板nice 上升空间 绩效奖金 带薪年假
Java工程师,深圳萨摩耶数字科技有限公司,6-8千/月,长沙-岳麓区,民营公司,3,2021-03-08 10:59:21,五险一金 年终奖金 弹性工作 周末双休
云计算工程师（分布式存储）,湖南博匠信息科技有限公司,1.5-2万/月,长沙-岳麓区,民营公司,5,2021-03-05 08:52:32,五险一金 交通补贴 餐饮补贴 通讯补贴 年终奖金 全勤奖 周末双休
arcgis二次开发,湖南星图空间信息技术有限公司,6-8千/月,长沙-天心区,民营公司,3,2021-03-02 17:13:37,五险一金 周末双休 绩效奖金 年终奖金 员工旅游 定期体检 专业培训
大数据开发/分析,湖南草花互动科技股份公司,0.8-1.3万/月,长沙,民营公司,4,2021-03-02 11:42:35,六险一金 半年度调薪 包中餐、晚餐 节假日福利 生日福利 免费健身房
全栈开发工程师,深圳市九立供应链股份有限公司,1-1.8万/月,长沙-雨花区,民营公司,3,2021-03-02 11:31:53,五险一金 补充医疗保险 员工旅游 出国机会 专业培训 定期体检 弹性工作 年终奖金 绩效奖金 人才公寓
大数据架构师,湖南华创科技发展有限公司,1.5-2.5万/月,长沙-岳麓区,民营公司,8,2021-03-01 10:24:54,
高级软件测试工程师（平台技术部）,中科云谷科技有限公司,1-1.5万/月,长沙-岳麓区,国企,5,2021-03-01 10:00:01,周末双休 带薪年假 五险一金 免费班车 高温补贴 包住宿 绩效奖金 工作餐 专业培训
逆向工程师,湖南网启网络科技有限公司,1-2万/月,长沙-岳麓区,民营公司,4,2021-02-26 17:00:01,
数据开发工程师(长沙),浩鲸云计算科技股份有限公司,1.2-2万/月,长沙,合资,6,2021-02-26 15:36:59,六险一金 交通补贴 餐饮补贴 绩效奖金 职业发展 定期体检 员工旅游
高级C++软件研发工程师,湖南海森格诺信息技术有限公司,1.5-2万/月,长沙-长沙县,民营公司,5,2021-02-26 11:00:01,五险一金 餐饮补贴 交通补贴 绩效奖金 节假日福利 产假、陪产假 周末双休 年终奖 项目奖
数据开发工程师,北京海天起点技术服务股份有限公司,1.1-2万/月,长沙-天心区,民营公司,5,2021-02-26 10:00:01,做五休二 周末双休 带薪年假 五险一金 节日福利 高温补贴 通讯补贴
非标设计工程师（物流软件方向）,珠海凌达压缩机有限公司,6-8千/月,异地招聘,国企,3,2021-02-26 09:09:54,五险一金 补充医疗保险 补充公积金 免费班车 员工旅游 年终奖金 绩效奖金 定期体检 餐饮补贴
大数据开发工程师,北京汇天世纪科技有限公司,1-1.5万/月,长沙-开福区,民营公司,5,2021-02-25 16:49:36,五险一金 交通补贴 通讯补贴 年终奖金 定期体检
大数据开发工程师,中烟物流技术有限责任公司,20-30万/年,长沙-芙蓉区,国企,3,2021-02-25 10:07:37,五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训 弹性工作 定期体检 年终奖金
OS开发工程师,湖南长城信息金融设备有限责任公司,1.5-2万/月,长沙-长沙县,国企,5,2021-02-24 10:58:45,五险一金 免费班车 餐饮补贴 通讯补贴 专业培训 定期体检 绩效奖金 补充医疗保险
交换机驱动开发工程师,湖南恒茂高科股份有限公司,1.2-2万/月,长沙,民营公司,,2021-02-23 21:08:49,包吃 五险一金 弹性工作 专业培训 绩效奖金 年终奖金
程序开发工程师,湖南湖大艾盛汽车技术开发有限公司,0.6-1.2万/月,长沙,民营公司,3,2021-02-23 16:36:12,五险一金 年终奖金 周末双休 餐饮补贴 定期体检 住房补贴 商业意外险
Java高级开发工程师,长沙赛群信息科技有限公司,0.8-1.5万/月,长沙-开福区,民营公司,5,2021-02-23 04:01:44,五险一金 绩效奖金 年终奖金 餐饮补贴
Java开发工程师,深圳市长亮科技股份有限公司,1-1.5万/月,异地招聘,上市公司,3,2021-02-22 11:54:16,五险一金 补充医疗保险 员工旅游 餐饮补贴 通讯补贴 专业培训 年终奖金 弹性工作 定期体检
SLAM算法,长沙万为机器人有限公司,2-3万/月,长沙,民营公司,5,2021-02-20 11:25:47,五险一金 弹性工作 加班补贴 朝九晚六 绩效奖金 年终奖金
C++软件工程师,中联农业机械股份有限公司,0.8-1.5万/月,长沙-岳麓区,国企,5,2021-02-20 08:00:16,五险一金 免费班车 餐饮补贴 定期体检 年终奖金 周末双休 带薪年假 包吃 包住宿 节日福利
JAVA开发（数据）,长沙市规划信息服务中心,1-1.5万/月,长沙-岳麓区,事业单位,3,2021-02-19 16:25:14,五险一金
Linux&Windows主机安全研发工程师,中通服创发科技有限责任公司,1-1.5万/月,长沙-芙蓉区,国企,5,2021-02-18 09:57:46,五险一金 餐饮补贴 通讯补贴 绩效奖金 定期体检
计算机软件开发工程师,三一重型能源装备有限公司,1.5-3万/月,异地招聘,民营公司,4,2021-01-31 15:00:01,五险一金 免费班车 餐饮补贴 专业培训 绩效奖金 年终奖金 提供住宿
大数据开发工程师,上海井胜通讯技术有限公司,1-2万/月,长沙,民营公司,5,2021-01-28 20:07:25,五险一金 带薪年假
数据开发工程师,浩鲸新智能科技股份有限公司,1-1.5万/月,长沙-岳麓区,民营公司,5,2021-01-25 13:41:22,七险一金 补充医疗保险 免费班车 员工旅游 餐饮补贴 专业培训 年终奖金 定期体检
云平台技术工程师,长沙罗鸿网络工程有限公司,0.6-1.2万/月,长沙,民营公司,4,2021-01-22 08:44:54,五险一金 员工旅游 餐饮补贴 专业培训 年终奖金
